Specification of total number of reservoirs in the size classes
Sub-basin-ID, acud[-] (five reservoir size classes)
123	511	165	56	52	97
125	119	34	21	13	19
126	133	52	21	8	15
127	104	28	10	3	6
134	238	78	24	26	36
137	332	90	35	28	27
138	20	9	2	2	4
139	234	72	23	17	25
142	165	69	15	14	20
143	522	148	43	34	58
144	390	83	28	13	24
145	179	20	8	3	6
146	16	2	0	1	1
147	102	21	7	13	14
148	52	10	6	1	3
149	578	125	19	27	24
150	332	96	20	21	15
151	88	22	4	7	2
152	13	6	1	1	2
153	68	7	0	0	0
154	18	1	3	2	0
155	922	195	47	44	44
156	725	180	64	43	72
157	317	95	31	25	24
158	237	37	20	15	27
159	371	80	23	19	14
160	182	61	14	15	19
